0,1,2,3,4,5,6,7,8,9,10
C0887833,etidronic-acid,tiludronate,alendronate,telmisartan,vandetanib,minocycline,fostamatinib,carvedilol,,CHONDROITIN SODIUM
C0085682,calcipotriol,dihydrotachysterol,,Calcidiol,paricalcitol,doxercalciferol,alfacalcidol,ergocalciferol,tacalcitol,maxacalcitol
C0085669,baricitinib,,ruxolitinib,tofacitinib,Romiplostim,eltrombopag,avatrombopag,aspirin,ponatinib,fostamatinib
C0014170,Estrone,estradiol cypionate,estradiol,levonorgestrel,,fulvestrant,ospemifene,bazedoxifene,norgestrel,norgestimate
C0007642,copanlisib,idelalisib,ibrutinib,Collagenase clostridium histolyticum,halofuginone,dasatinib,fostamatinib,ponatinib,Lithium,imatinib
C0013390,oxytocin,abiraterone,CHROMIUM,carbetocin,vasopressin,,atosiban,Felypressin,Desmopressin,terlipressin
C0042875,Lactose,Galsulfase,Idursulfase,Aprotinin,cyclandelate,montelukast,NAFAMOSTAT,,Dextropropoxyphene,thiamine
C0013384,lidocaine,riluzole,tetracaine,rufinamide,ethotoin,phenytoin,carbamazepine,eslicarbazepine-acetate,oxcarbazepine,mephenytoin
C0043202,Oxygen,cholic-acid,NADH,miglitol,acarbose,coenzyme Q10,aspirin,miconazole,icosapent,trimetazidine
C0024299,fostamatinib,Arsenic trioxide,ospemifene,fulvestrant,aspirin,,zinc,bazedoxifene,dasatinib,cladribine
C0553580,insulin human,fulvestrant,,ospemifene,Methyltestosterone,bazedoxifene,norgestimate,Arsenic trioxide,"insulin, neutral",
C0013421,NADH,coenzyme Q10,thiamine,fostamatinib,cholic-acid,colchicine,,podophyllotoxin,aprepitant,netupitant
C0268070,naloxegol,Diphenoxylate,fostamatinib,Hydrocodone,Oxymorphone,,Hydromorphone,Dezocine,Codeine,eluxadoline
C0017152,allylestrenol,L-Lysine,,Biotin,potassium chloride,benzbromarone,fostamatinib,CARMELLOSE,vandetanib,bosutinib
C0003872,Etanercept,Certolizumab pegol,Infliximab,golimumab,glucosamine,,triflusal,L-Arginine,Polaprezinc,lenalidomide
C0022116,Iron,Theophylline,minocycline,Aminophylline,,zinc,adenosine,istradefylline,aspirin,
C0032463,sodium ferric gluconate complex,IRON DEXTRAN,,tofacitinib,baricitinib,ruxolitinib,Romiplostim,eltrombopag,Oxygen,avatrombopag
C0034012,goserelin-acetate,Buserelin,zinc,gestrinone,Choriogonadotropin alfa,Follicle Stimulating Hormone,danazol,,Lutropin alfa,gonadorelin
C0027708,aspirin,urea,fostamatinib,copanlisib,podophyllotoxin,Arsenic trioxide,idelalisib,fulvestrant,ospemifene,ponatinib
C0010417,fostamatinib,palifermin,oxandrolone,Testosterone Propionate,Nandrolone decanoate,nilutamide,NADH,enzalutamide,Drostanolone,stanozolol
C0745103,zinc,PORFIMER SODIUM,Pegvisomant,Somatropin recombinant,Alirocumab,probucol,glyburide,,Becaplermin,Gentamicins
C0042345,Collagenase clostridium histolyticum,halofuginone,,,Tenecteplase,Urokinase,regorafenib,fostamatinib,Tromethamine,dasatinib
C0020517,omalizumab,CHONDROITIN SODIUM,zinc,Polaprezinc,glucosamine,minocycline,fostamatinib,,Thalidomide,amsacrine
C0038358,glucosamine,minocycline,triflusal,mesalazine,balsalazide,sulindac,etodolac,meloxicam,sasapyrine,acemetacin
C0005967,captopril,halofuginone,tiludronate,glucosamine,minocycline,pomalidomide,etodolac,mesalazine,balsalazide,iguratimod
C0281361,fostamatinib,Arsenic trioxide,podophyllotoxin,fulvestrant,,dimethyl-fumarate,bazedoxifene,ospemifene,vemurafenib,clodronic-acid
C0020503,Siltuximab,GINSENG,Polaprezinc,ibudilast,Bevacizumab,racecadotril,efalizumab,sacubitril,palivizumab,Adalimumab
C0007194,NADH,coenzyme Q10,fostamatinib,aspirin,zinc,clodronic-acid,Rosiglitazone,fulvestrant,icosapent,bosutinib
C0018671,Arsenic trioxide,,isosorbide,Necitumumab,gefitinib,erlotinib,5-fluorouracil,vandetanib,isoprenaline,sulindac
C0008489,bepridil,felodipine,amiodarone,isradipine,pregabalin,gabapentin-enacarbil,spironolactone,gabapentin,Omega-3-carboxylic acids,IRON DEXTRAN
C0029453,Adenosine monophosphate,caffeine,gestrinone,danazol,pentoxifylline,dipyridamole,milrinone,ketotifen,ibudilast,tofisopam
C0007786,cholic-acid,Oxygen,,Acetohydroxamic Acid,minocycline,Arsenic trioxide,zinc,glucosamine,aspirin,fostamatinib
C0033806,roflumilast,doxofylline,apremilast,amlexanox,ibudilast,dyphylline,ketotifen,Adenosine monophosphate,Theophylline,iloprost
C0040156,,cyanocobalamin,floxuridine,,leucovorin,doxifluridine,carmofur,capecitabine,Trifluridine,raltitrexed
C0027697,norelgestromin,Phenol,mestinon,amsacrine,erythromycin,Efonidipine,Natalizumab,cefotaxime,CONESTAT ALFA,Adalimumab
C0001122,trilostane,aminoglutethimide,hydrocortisone,mitotane,NADH,rabeprazole,pantoprazole,,esomeprazole,boceprevir
C0428974,halofuginone,Collagenase clostridium histolyticum,Urokinase,ocriplasmin,,Reteplase,Tenecteplase,Alteplase,captopril,zinc
C0020649,spironolactone,dexamethasone,felodipine,prednisolone,progesterone,nimodipine,testosterone,fluticasone propionate,testosterone cypionate,Fludrocortisone
C0036980,cholic-acid,NADH,Glutathione,trimetazidine,L-Isoleucine,pyridoxine,pyridoxal,Sermorelin,tesamorelin,carmustine
C0038013,Ustekinumab,misoprostol,epoprostenol,grapiprant,Dinoprostone,L-Lysine,amiodarone,iloprost,bepridil,isoflurophate
C1269683,L-Glutamic Acid,fostamatinib,minaprine,felodipine,tamoxifen,Adenosine monophosphate,Fluocinolone Acetonide,beclomethasone-dipropionate,Pyridoxal Phosphate,
C0015624,streptozotocin,trimetazidine,Glutathione,carmustine,cholic-acid,N-Acetyl-D-glucosamine,NADH,L-Isoleucine,Valproic Acid,
C0151714,velcalcetide,Neomycin,cinacalcet,,Spermine,tryptophan,fostamatinib,domperidone,resveratrol,colchicine
C1837475,zinc,Pentosan Polysulfate,Canakinumab,Siltuximab,Mecasermin,AFLIBERCEPT,ursodiol,Ranibizumab,Heparin,Sermorelin
C0015397,Tranexamic Acid,6-Aminocaproic Acid,Streptokinase,menadione,estramustine,Kappadione,loperamide,Dexibuprofen,cupric chloride,fostamatinib
C0036572,NADH,,fostamatinib,MAGNESIUM ACETATE,Digitoxin,,almitrine,MAGNESIUM,digoxin,bretylium
C0020476,clofibrate,clinofibrate,cefazolin,pioglitazone,fenofibric-acid,ciprofibrate,octanoic acid,etofibrate,fenofibrate,Rosiglitazone
C0231528,Valproic Acid,NADH,colchicine,dasatinib,ixabepilone,podophyllotoxin,fostamatinib,vinorelbine,regorafenib,paclitaxel
C0008311,halofuginone,Collagenase clostridium histolyticum,pazopanib,hyaluronidase (ovine),Pseudoephedrine,eptifibatide,regorafenib,fostamatinib,glucosamine,minocycline
C0009806,levothyroxine,bumetanide,,etacrynic-acid,liothyronine,hydroflumethiazide,bleomycin,,Pegaptanib,furosemide
C0020502,Arsenic trioxide,imatinib,sorafenib,sunitinib,,ponatinib,regorafenib,alfacalcidol,cabozantinib,
C0271093,Omega-3-carboxylic acids,,fingolimod,cimetidine,ouabain,potassium chloride,bumetanide,ezetimibe,Hesperetin,L-Isoleucine
C0033581,nitisinone,ibrutinib,L-Phenylalanine,dasatinib,PORFIMER SODIUM,nilotinib,sarilumab,fostamatinib,alendronate,baricitinib
C0005741,fingolimod,safinamide,tranylcypromine,isocarboxazid,procarbazine,,pargyline,,rasagiline,linezolid
C0035457,norelgestromin,erythromycin,mestinon,amsacrine,Phenol,cefotaxime,Efonidipine,rifampin,phensuximide,trimethadione
C4083212,homoharringtonine,doxorubicin,fostamatinib,regorafenib,ixabepilone,vinorelbine,fulvestrant,bosutinib,ospemifene,
C0034013,Lutropin alfa,,Choriogonadotropin alfa,Follicle Stimulating Hormone,goserelin-acetate,Buserelin,icosapent,resveratrol,mesalazine,balsalazide
C0022665,Arsenic trioxide,,regorafenib,sorafenib,sulindac,dabrafenib,aspirin,fostamatinib,resveratrol,vemurafenib
C0003873,"insulin, neutral",fostamatinib,Alitretinoin,zinc,minocycline,,dasatinib,Polaprezinc,Tenecteplase,NADH
C0302280,abiraterone,trilostane,ketoconazole,carglumic-acid,NADH,metyrapone,mitotane,hydrocortisone,Isoniazid,tolperisone
C0019618,ibandronate,pamidronate,fostamatinib,,tamoxifen,Niclosamide,fluorometholone,mestranol,,pyrazinamide
C0409818,MOROCTOCOG ALFA,,N-Acetyl-D-glucosamine,podophyllotoxin,vincristine,Alteplase,Rifabutin,Mecasermin,Reteplase,Tenecteplase
C0242698,dexamethasone,nimodipine,testosterone,fluticasone propionate,testosterone cypionate,Fludrocortisone,,drospirenone,prednisolone,potassium-canrenoate
C0019156,L-Lysine,,L-Arginine,norepinephrine,ethinamate,methocarbamol,Methamphetamine,L-Ornithine,tetrabenazine,reserpine
C1561643,minoxidil,Remikiren,aliskiren-hemifumarate,Pyridoxal Phosphate,fostamatinib,L-Cysteine,bosutinib,zinc,dasatinib,ospemifene
C0220989,epirubicin,dapsone,methotrexate,calcitriol,paracetamol,Trimetrexate,pixantrone,finafloxacin,lomefloxacin,idarubicin
C0032460,NADH,trilostane,fostamatinib,Choriogonadotropin alfa,Follicle Stimulating Hormone,Lutropin alfa,hydrocortisone,,aspirin,ribavirin
C0342881,PORFIMER SODIUM,Alirocumab,,Gentamicins,insulin human,,"insulin, neutral",icosapent,docetaxel,
C0019829,mycophenolate-mofetil,thioguanine,mycophenolic-acid,aspirin,brentuximab vedotin,tiludronate,paracetamol,Glycerin,sulfamethoxazole,clomipramine
C0035455,olopatadine,pizotifen,trifluoperazine,fluphenazine,lumacaftor,ivacaftor,tezacaftor,chlorprothixene,pipamperone,promazine
C0027051,fluoxymesterone,dexamethasone,felodipine,progesterone,testosterone,testosterone cypionate,fluticasone propionate,Fludrocortisone,,nimodipine
C0085631,isosorbide-mononitrate,riociguat,tadalafil,isosorbide-dinitrate,trapidil,molsidomine,caffeine,aurothioglucose,propentofylline,mirodenafil
C0030920,glucosamine,Rilonacept,minocycline,Canakinumab,Arsenic trioxide,ibudilast,diacerein,,fostamatinib,hyaluronidase (ovine)
C0020514,,Lutropin alfa,Choriogonadotropin alfa,Follicle Stimulating Hormone,fluoxymesterone,Somatropin recombinant,acetophenazine,SULPIRIDE,minaprine,tetrabenazine
C0014869,ephedrine,perindopril,trandolapril,cilazapril,fosinopril,quinapril,imidapril,benazepril,Pentosan Polysulfate,temocapril
C0025322,,ibuproxam,,zileuton,flutamide,chlorzoxazone,vindesine,ixabepilone,GINSENG,diosmin
C0002170,fostamatinib,zinc,,MOROCTOCOG ALFA,fulvestrant,,ospemifene,aspirin,Tenecteplase,Estrone
C0233315,hydroflumethiazide,bumetanide,etacrynic-acid,trichlormethiazide,niflumic-acid,quinethazone,chlorthalidone,bendroflumethiazide,potassium chloride,furosemide
C0272375,Fondaparinux,Bemiparin,Enoxaparin,Sulodexide,Danaparoid,Antithrombin III,Heparin,Tranexamic Acid,glycolic acid,TUROCTOCOG ALFA
C0020474,clofibrate,Tyloxapol,clinofibrate,Omega-3-carboxylic acids,fostamatinib,gemfibrozil,orlistat,dasatinib,bosutinib,Dalbavancin
C0036202,hyaluronidase (ovine),NADH,cholic-acid,Glutathione,zinc,isoprenaline,coenzyme Q10,Polaprezinc,prednisone,golimumab
C0026987,ridogrel,,baricitinib,ozagrel,tofacitinib,ruxolitinib,sulfasalazine,Romiplostim,eltrombopag,avatrombopag
C0007785,THROMBOMODULIN ALFA,,ANTITHROMBIN ALFA,TUROCTOCOG ALFA,NAFAMOSTAT,,Coagulation Factor IX,THROMBIN ALFA,,Kappadione
C0006114,NADH,coenzyme Q10,L-Aspartic Acid,,L-Arginine,L-Citrulline,,L-Isoleucine,cholic-acid,carglumic-acid
C0042024,bleomycin,dasatinib,,MOROCTOCOG ALFA,Becaplermin,fostamatinib,aspirin,regorafenib,nintedanib,Tenecteplase
C0008677,triamterene,amiloride,minocycline,Tromethamine,CHONDROITIN SODIUM,Ranibizumab,Bevacizumab,AFLIBERCEPT,gliclazide,carvedilol
C0020676,,levothyroxine,Dextrothyroxine,liothyronine,Rosiglitazone,amiodarone,icosapent,fostamatinib,NADH,estradiol cypionate
C0029134,L-Glutamic Acid,Pyridoxal Phosphate,Lithium,fostamatinib,fulvestrant,ospemifene,bazedoxifene,,aspirin,zinc
C0311375,Anakinra,ketoprofen,,Theophylline,regadenoson,fostamatinib,istradefylline,zinc,adenosine,Etanercept
C0428977,imipramine,trimipramine,desipramine,nortriptyline,ziprasidone,quetiapine,aripiprazole,paliperidone,cinnarizine,doxepin
C0013295,Reteplase,Anistreplase,Alteplase,Streptokinase,Tranexamic Acid,6-Aminocaproic Acid,Aprotinin,,triflusal,Tenecteplase
C0036983,calcitriol,,triflusal,,L-Arginine,L-Citrulline,,dexamethasone,acetazolamide,miconazole
C0023418,Arsenic trioxide,tamoxifen,Methyltestosterone,,ospemifene,fulvestrant,bazedoxifene,,norgestimate,podophyllotoxin
C0039483,auranofin,NADH,Hesperetin,ezetimibe,cobimetinib,Aluminium chloride,axitinib,Pegvisomant,trametinib,fostamatinib
C0221260,Tranexamic Acid,zinc,6-Aminocaproic Acid,Streptokinase,podophyllotoxin,fostamatinib,ixabepilone,vincristine,colchicine,Tenecteplase
C0020461,dexamethasone,nimodipine,felodipine,testosterone cypionate,fluticasone propionate,prednisolone,Fludrocortisone,testosterone,,drospirenone
C0035078,niflumic-acid,,Acetohydroxamic Acid,bleomycin,pirfenidone,zinc,Filgrastim,voglibose,L-Cystine,miglitol
C0027497,loperamide,Fentanyl,glucosamine,dasatinib,apremilast,glutamine-(l),naloxone,mercaptopurine,golimumab,Infliximab
C0008312,hyaluronidase (ovine),tezacaftor,ivacaftor,lumacaftor,capsaicin,CROFELEMER,Dexibuprofen,ibuprofen,Thalidomide,bumetanide
C1142132,trimetazidine,levocarnitine,Glutathione,Omega-3-carboxylic acids,carmustine,NADH,L-Isoleucine,N-Acetyl-D-glucosamine,Succinic acid,
C0025294,Oprelvekin,pyridoxal,pyridoxine,thiotepa,Thalidomide,tesamorelin,SIMOCTOCOG ALFA,Sermorelin,rifapentine,pentolinium
C0152020,tipiracil,diosmin,perhexiline,L-Cysteine,L-Asparagine,trilostane,GINSENG,mexiletine,flutamide,atorvastatin
C0002171,auranofin,Benzoic Acid,Denileukin diftitox,aldesleukin,Glutathione,icosapent,etidronic-acid,Rosiglitazone,,menadione
C0451641,Adenine,,mercaptopurine,cladribine,bortezomib,NADH,,ixabepilone,L-Glutamic Acid,vincristine
C0025323,,Coagulation Factor IX,Kappadione,ANTITHROMBIN ALFA,,TUROCTOCOG ALFA,NAFAMOSTAT,menadione,,MOROCTOCOG ALFA
C0014868,capsaicin,Camphor,nonivamide,capsicum oleoresin,propacetamol,paracetamol,Arsenic trioxide,,icosapent,fostamatinib
C0000809,ibrutinib,dasatinib,vorinostat,ponatinib,moxifloxacin,nintedanib,finafloxacin,levofloxacin,norfloxacin,ofloxacin
C0042384,zinc,,paclitaxel,naloxone,Thalidomide,,ponatinib,cisplatin,ocriplasmin,fostamatinib
C0234533,eslicarbazepine-acetate,ethotoin,rufinamide,phenacemide,oxcarbazepine,mephenytoin,lacosamide,tetracaine,phenytoin,carbamazepine
C0919267,etidronic-acid,Arsenic trioxide,fostamatinib,,tiludronate,aspirin,fulvestrant,,ospemifene,bazedoxifene
C0003469,dopamine,mianserin,imipramine,mirtazapine,zotepine,ziprasidone,,chlorpromazine,cabergoline,yohimbine
C0031154,Eculizumab,Lithium,glucosamine,Thalidomide,Oxycodone,Sucroferric Oxyhydroxide,apremilast,zinc,,lidocaine
C0003864,zinc,fostamatinib,Natalizumab,dasatinib,Etanercept,trastuzumab,Cetuximab,Muromonab-CD3,regorafenib,Adalimumab
C0043515,Arsenic trioxide,fostamatinib,regorafenib,hyaluronidase (ovine),ponatinib,,dimethyl-fumarate,vemurafenib,bosutinib,Methyltestosterone
C0021390,Polaprezinc,lenalidomide,pomalidomide,Thalidomide,GINSENG,aspirin,fostamatinib,golimumab,Certolizumab pegol,glucosamine
C0017636,fostamatinib,Arsenic trioxide,minocycline,zinc,vandetanib,fulvestrant,Necitumumab,,podophyllotoxin,glucosamine
C0034951,fulvestrant,ospemifene,fostamatinib,,bazedoxifene,regorafenib,podophyllotoxin,bosutinib,dasatinib,belinostat
C0025874,insulin human,"insulin, neutral",pemetrexed,gemcitabine,fostamatinib,panobinostat,romidepsin,Succinic acid,belinostat,erlotinib
C0751362,suvorexant,"insulin, neutral",tetracycline,acetylcysteine,cupric chloride,,MOROCTOCOG ALFA,L-Glutamic Acid,menadione,nicotinamide
C0040034,fostamatinib,dasatinib,regorafenib,zinc,,MOROCTOCOG ALFA,bosutinib,vinblastine,podophyllotoxin,ospemifene
C0948216,Canakinumab,Siltuximab,dihydrotachysterol,cholecalciferol,calcipotriol,,paricalcitol,loperamide,perindopril,tacalcitol
C0036830,norelgestromin,erythromycin,mestinon,amsacrine,Phenol,Efonidipine,cefotaxime,rifampin,phensuximide,trimethadione
C0018273,zinc,Mecasermin,isoflurophate,podophyllotoxin,GINSENG,minaprine,dipivefrine,ephedrine,resveratrol,Choline
C0017168,,Acetohydroxamic Acid,NADH,Urokinase,regorafenib,fostamatinib,Filgrastim,vemurafenib,aspirin,L-Glutamic Acid
C0687720,vemurafenib,dabrafenib,urea,Felypressin,carbetocin,vasopressin,,atosiban,Desmopressin,terlipressin
C0004114,Estrone,Diethylstilbestrol,tamoxifen,fulvestrant,regorafenib,ospemifene,,bazedoxifene,Methyltestosterone,norgestimate
C0019151,zaleplon,lorazepam,clonazepam,eszopiclone,diazepam,etomidate,Chlordiazepoxide,methyprylon,Glutethimide,clobazam
C0027726,Heparin,fluoxymesterone,hydrocortisone,Bemiparin,Fondaparinux,Enoxaparin,Sulodexide,Danaparoid,Antithrombin III,Tranexamic Acid
C0038160,perindopril,cilazapril,trandolapril,fosinopril,quinapril,imidapril,benazepril,temocapril,enalapril,deserpidine
C0005587,topiramate,pirlindole,L-Glutamic Acid,trazodone,Nefazodone,vortioxetine,vilazodone,minaprine,phentermine,Methamphetamine
C0022104,gabexate,ecabet,Siltuximab,Canakinumab,Rilonacept,GINSENG,vorapaxar,daratumumab,Streptokinase,pirfenidone
C0006267,Ibritumomab tiuxetan,Rituximab,Tositumomab,ofatumumab,obinutuzumab,ocrelizumab,aspirin,amiloride,Thalidomide,zinc
C0021141,Felypressin,carbetocin,vasopressin,,atosiban,Desmopressin,terlipressin,,oxytocin,tolvaptan
C0038362,Rilonacept,Anistreplase,Alteplase,Reteplase,Streptokinase,6-Aminocaproic Acid,Tranexamic Acid,Aprotinin,Urokinase,Tenecteplase
C0032897,fulvestrant,ospemifene,bazedoxifene,,melatonin,fostamatinib,homoharringtonine,mebendazole,resveratrol,vincristine
C0003492,fostamatinib,regorafenib,bosutinib,vemurafenib,sorafenib,fulvestrant,ospemifene,trametinib,,cobimetinib
C0018924,Kappadione,Coagulation Factor IX,,Coagulation factor VIIa Recombinant Human,menadione,,TUROCTOCOG ALFA,phytonadione,anisindione,NONACOG BETA PEGOL
C0520679,palifermin,lenvatinib,nintedanib,pazopanib,ponatinib,aspirin,,bosentan,ambrisentan,Sitaxentan
C0039685,Vitamin C,Succinic acid,fostamatinib,regorafenib,ospemifene,fulvestrant,vorinostat,bazedoxifene,,NADH
C0011848,oxytocin,conivaptan,terlipressin,,tolvaptan,vasopressin,Desmopressin,atosiban,,Felypressin
C0020459,retinol,fostamatinib,NADH,fulvestrant,ospemifene,,bazedoxifene,dipyridamole,pentoxifylline,podophyllotoxin
C0011860,cholic-acid,Oxygen,NADH,zinc,fostamatinib,aspirin,tamoxifen,Thalidomide,Arsenic trioxide,miconazole
C0005424,sulfinpyrazone,finasteride,,Azelaic Acid,indomethacin,fostamatinib,aspirin,Salicylic acid,bortezomib,belinostat
C0042035,Methylene Blue,,Lactose,L-Citrulline,oxymetholone,carvedilol,fostamatinib,Galsulfase,Idursulfase,Phenobarbital
C0016470,MOROCTOCOG ALFA,,,Tenecteplase,Anistreplase,,Reteplase,Rifabutin,tubocurarine,podophyllotoxin
C0006105,ibuproxam,,,zileuton,minocycline,masoprocol,Pentosan Polysulfate,Ranibizumab,Aminophylline,Canakinumab
C0043459,NADH,Glutathione,icosapent,podophyllotoxin,fulvestrant,vincristine,ixabepilone,panobinostat,aspirin,MOROCTOCOG ALFA
C0023434,aspirin,lenalidomide,Arsenic trioxide,fostamatinib,,Iron,Polaprezinc,paclitaxel,fulvestrant,docetaxel
C0149821,Icatibant,,ezetimibe,somatostatin,Lanreotide,cysteamine,octreotide,pasireotide,Vapreotide,mexiletine
C3544321,prucalopride,mosapride,,Cinitapride,Cisapride,,tropisetron,ondansetron,metoclopramide,vilazodone
C0027121,Rilonacept,Thalidomide,Iron,sodium ferric gluconate complex,Oxycodone,lidocaine,IRON DEXTRAN,amsacrine,Sucroferric Oxyhydroxide,disopyramide
C0085580,L-Citrulline,,,L-Arginine,miconazole,candesartan-cilextil,Tasosartan,Azilsartan medoxomil,carvedilol,
C0524620,ethinyl-estradiol,tamoxifen,Diethylstilbestrol,noretynodrel,Estrone,levonorgestrel,dienestrol,progesterone,,toremifene
C0238052,,pyrazinamide,,sonidegib,orlistat,vismodegib,6-Aminocaproic Acid,tofogliflozin,Spermine,fluocinonide
C0011875,amsacrine,norelgestromin,apremilast,Phenol,mestinon,erythromycin,Efonidipine,cefotaxime,amrinone,dipyridamole
C0011849,cholic-acid,Oxygen,caffeine,dipyridamole,ketotifen,trapidil,Nitroglycerin,roflumilast,aurothioglucose,Nitroprusside
C0271650,,Acetohydroxamic Acid,trilostane,estradiol cypionate,aspirin,estradiol,NADH,Valproic Acid,regorafenib,Mecasermin
C0343755,Rilonacept,glucosamine,Infliximab,golimumab,Certolizumab pegol,Canakinumab,pirfenidone,Polaprezinc,Siltuximab,GINSENG
C0242339,Iron,clinofibrate,PORFIMER SODIUM,GINSENG,clofibrate,flutamide,resveratrol,atorvastatin,Tromethamine,zinc
C0033578,NADH,zinc,fostamatinib,MOROCTOCOG ALFA,Arsenic trioxide,Estrone,ospemifene,,,fulvestrant
C0398623,Kappadione,apixaban,edoxaban,,rivaroxaban,menadione,ANTITHROMBIN ALFA,TUROCTOCOG ALFA,NONACOG BETA PEGOL,betrixaban
C0677607,CONESTAT ALFA,Adalimumab,Cetuximab,Gemtuzumab ozogamicin,trastuzumab,Etanercept,Abciximab,Muromonab-CD3,Rituximab,Ibritumomab tiuxetan
C0007193,felodipine,dexamethasone,nimodipine,spironolactone,progesterone,testosterone,fluticasone propionate,Fludrocortisone,testosterone cypionate,
C0038363,pazopanib,,naloxone,paclitaxel,,dextromethorphan,fostamatinib,zinc,isoflurophate,Thalidomide
C0020538,NADH,felodipine,fostamatinib,mirtazapine,naloxone,Adenosine monophosphate,loperamide,cyclothiazide,triflusal,zinc
C0242488,raloxifene,hyaluronidase (ovine),fostamatinib,ponatinib,nintedanib,regorafenib,lenvatinib,dasatinib,bosutinib,sorafenib
C2931618,pomalidomide,lenalidomide,podophyllotoxin,vincristine,vinorelbine,ospemifene,vindesine,fulvestrant,docetaxel,paclitaxel
C0005586,Ethanol,topiramate,L-Glutamic Acid,fostamatinib,amoxapine,lamotrigine,olanzapine,Pentobarbital,primidone,zinc
C0033975,Adenosine monophosphate,L-Glutamic Acid,fostamatinib,caffeine,dipyridamole,amrinone,Methylene Blue,aurothioglucose,pentoxifylline,apremilast
C0014474,dimethyl-fumarate,vandetanib,fostamatinib,acetylcysteine,,bortezomib,fulvestrant,trastuzumab,ospemifene,bazedoxifene
C0031190,carglumic-acid,cyanocobalamin,Morphine,Collagenase clostridium histolyticum,Siltuximab,quinapril,fosinopril,temocapril,chenodeoxycholic-acid,Hydroxocobalamin
C0035335,aspirin,insulin human,Arsenic trioxide,ospemifene,fulvestrant,Methyltestosterone,bazedoxifene,,,quinestrol
C3463824,fostamatinib,dasatinib,fulvestrant,,ponatinib,ospemifene,regorafenib,bazedoxifene,imatinib,Arsenic trioxide
C0022661,icosapent,aspirin,sulfasalazine,mesalazine,indomethacin,resveratrol,Polaprezinc,dextromethorphan,Thalidomide,ibuprofen
C0015967,etacrynic-acid,bumetanide,fostamatinib,hydroflumethiazide,furosemide,trichlormethiazide,zinc,potassium chloride,bendroflumethiazide,chlorthalidone
C0015230,zinc,pirfenidone,Tenecteplase,fostamatinib,Reteplase,Alteplase,Anistreplase,regorafenib,dasatinib,ponatinib
C0002994,mestinon,CONESTAT ALFA,norelgestromin,Phenol,amsacrine,erythromycin,"insulin, neutral",Efonidipine,cefotaxime,Urokinase
C0005779,Heparin,Fondaparinux,Enoxaparin,Bemiparin,Sulodexide,Danaparoid,Antithrombin III,TUROCTOCOG ALFA,Kappadione,menadione
C0920350,,,Lutropin alfa,liothyronine,levothyroxine,Dextrothyroxine,,TUROCTOCOG ALFA,vincristine,amiodarone
C0018099,minocycline,glucosamine,mercaptopurine,diacerein,Rilonacept,azathioprine,ibudilast,,Canakinumab,
C0241961,fostamatinib,Arsenic trioxide,,aspirin,regorafenib,temsirolimus,everolimus,ethynodiol-diacetate,,fulvestrant
C0011644,L-Phenylalanine,epinephrine,sapropterin,droxidopa,norepinephrine,NADH,,ospemifene,fulvestrant,pemetrexed
C0010200,isoprenaline,zinc,fostamatinib,Niclosamide,acitretin,dasatinib,ponatinib,bosutinib,Tenecteplase,regorafenib
C0029442,ribavirin,streptozotocin,amifostine,alfacalcidol,maxacalcitol,dihydrotachysterol,calcipotriol,Calcidiol,ergocalciferol,paricalcitol
C0029456,Adenosine monophosphate,amrinone,NADH,caffeine,apremilast,doxofylline,pentoxifylline,zinc,amlexanox,dipyridamole
C0027686,Ramucirumab,Ranibizumab,cabozantinib,gliclazide,AFLIBERCEPT,CHONDROITIN SODIUM,axitinib,Tromethamine,ponatinib,lenvatinib
C0011334,Tranexamic Acid,6-Aminocaproic Acid,Streptokinase,zinc,fostamatinib,Tenecteplase,podophyllotoxin,ponatinib,Reteplase,nintedanib
C0040147,copanlisib,idelalisib,,Arsenic trioxide,fostamatinib,ospemifene,fulvestrant,Niclosamide,bazedoxifene,
C0042963,NADH,spironolactone,dexamethasone,nimodipine,felodipine,bumetanide,progesterone,,testosterone,fluticasone propionate
C0023437,fostamatinib,bezafibrate,alfacalcidol,halobetasol,vorinostat,ciprofibrate,etofibrate,megestrol acetate,ulipristal,
C0022073,Denileukin diftitox,aldesleukin,ruxolitinib,tofacitinib,Muromonab-CD3,fostamatinib,baricitinib,palifermin,nintedanib,ponatinib
C0030305,cholic-acid,Oxygen,lasofoxifene,,NADH,,,Filgrastim,Biotin,L-Aspartic Acid
C0012833,thiamine,bepridil,loperamide,nifedipine,,rimexolone,fludroxycortide,triamcinolone,ciclesonide,fluocinonide
C0042023,doxorubicin,,,Sodium stibogluconate,,clofarabine,dactinomycin,homoharringtonine,daunorubicin,etoposide
C0001126,perhexiline,levocarnitine,L-Aspartic Acid,,Biotin,memantine,tramadol,magnesium carbonate,gabexate,felbamate
C0020473,buphenine,isoprenaline,carvedilol,Phenol,norelgestromin,epinephrine,Adenosine monophosphate,clenbuterol,norepinephrine,amsacrine
C0026764,isosorbide,Arsenic trioxide,,ponatinib,nintedanib,pazopanib,palifermin,lenvatinib,Polaprezinc,Eribulin
C0029443,L-Serine,isoprenaline,quinidine,Rilonacept,IRON DEXTRAN,Pyridoxal Phosphate,imatinib,regorafenib,sodium ferric gluconate complex,zinc
C0456909,NADH,cyclothiazide,perampanel,Lithium,topiramate,retinol,quinidine,carfilzomib,fostamatinib,
